resourceGroupName,nsgName,ruleName,priority,direction,sourceIp,sourcePort,destinationIp,destinationPort,protocol,Access,Description,servicePublish,resourceGroupservicePublish
Iaas-Test-Hub2-Rg,Iaas-Test-Hub2-Vnet1-Snet-Nsg-management1,AllowManagementprotocolsfromJumpboxesOutbound,2300,Outbound,10.0.0.96/27,*,"192.168.0.0/23,10.10.0.0/22,10.0.0.0/23,10.8.0.0/22","3389,22,80,443,445",*,Allow,Allow Management from Jump Server,Iaas-Test-Hub2-Vnet1-Snet-Nsg-management1,
Iaas-Test-Hub2-Rg,Iaas-Test-Hub2-Vnet1-Snet-Nsg-management1,AllowSSHFromAnywhereInbound,200,Inbound,*,*,10.0.0.100,22,*,Allow,Allow Access to the SFTP server,,
Iaas-Test-Spoke1-Rg,Iaas-Test-Spoke1-Vnet1-Snet-Nsg-hpcman,AllowAnyToHPCWorkerOutbound,200,Outbound,10.10.0.0/27,*,10.10.0.32/27,*,*,Allow,Allow All traffic between the HPC Subnets,Iaas-Test-Spoke1-Vnet1-Snet-Nsg-hpcman,Iaas-Test-Spoke1-Rg
Iaas-Test-Spoke1-Rg,Iaas-Test-Spoke1-Vnet1-Snet-Nsg-hpcman,AllowAnyFromHPCWorkerInbound,210,Inbound,10.10.0.32/27,*,10.10.0.0/27,*,*,Allow,Allow All traffic between the HPC Subnets,,
Iaas-Test-Spoke1-Rg,Iaas-Test-Spoke1-Vnet1-Snet-Nsg-hpcworker,AllowAnyToHPCManOutbound,200,Outbound,10.10.0.32/27,*,10.10.0.0/27,*,*,Allow,Allow All traffic between the HPC Subnets,Iaas-Test-Spoke1-Vnet1-Snet-Nsg-hpcworker,
Iaas-Test-Spoke1-Rg,Iaas-Test-Spoke1-Vnet1-Snet-Nsg-hpcworker,AllowAnyFromHPCManInbound,210,Inbound,10.10.0.0/27,*,10.10.0.32/27,*,*,Allow,Allow All traffic between the HPC Subnets,,
Iaas-Test-Spoke1-Rg2,Iaas-Test-Spoke1-Vnet2-Snet-Nsg-hpcman,AllowAnyToHPCWorkerOutbound,200,Outbound,10.8.2.0/27,*,10.8.2.32/27,*,*,Allow,Allow All traffic between the HPC Subnets,Iaas-Test-Spoke1-Vnet2-Snet-Nsg-hpcman,Iaas-Test-Spoke1-Rg2
Iaas-Test-Spoke1-Rg2,Iaas-Test-Spoke1-Vnet2-Snet-Nsg-hpcman,AllowAnyFromHPCWorkerInbound,210,Inbound,10.8.2.32/27,*,10.8.2.0/27,*,*,Allow,Allow All traffic between the HPC Subnets,,
Iaas-Test-Spoke1-Rg2,Iaas-Test-Spoke1-Vnet2-Snet-Nsg-hpcworker,AllowAnyToHPCManOutbound,200,Outbound,10.8.2.32/27,*,10.8.2.0/27,*,*,Allow,Allow All traffic between the HPC Subnets,Iaas-Test-Spoke1-Vnet2-Snet-Nsg-hpcworker,
Iaas-Test-Spoke1-Rg2,Iaas-Test-Spoke1-Vnet2-Snet-Nsg-hpcworker,AllowAnyFromHPCManInbound,210,Inbound,10.8.2.0/27,*,10.8.2.32/27,*,*,Allow,Allow All traffic between the HPC Subnets,,
,nsg.all-member-server-subnets.csv,AllowAD-UDP-Traffic-Outbound,2200,Outbound,VirtualNetwork,*,"192.168.0.196,10.0.0.196,10.112.124.10","123,137,138",UDP,Allow,"Allow Windows Time,DFS, Group Policy,Netlogon",,
,nsg.all-member-server-subnets.csv,AllowAD-TCP-Traffic-Outbound,2210,Outbound,VirtualNetwork,*,"192.168.0.196,10.0.0.196,10.112.124.10","135,139,445,636,3268,6269,49152-65535",TCP,Allow,"Allow RPC, LDAP GC, LDAP GC SSL, LDAP SSL ,SMB, User/Computer Authentication",,
,nsg.all-member-server-subnets.csv,AllowAD-TCP-UDP-Traffic-Outbound,2220,Outbound,VirtualNetwork,*,"192.168.0.196,10.0.0.196,10.112.124.10","464,389,53,88",*,Allow,"Allow Kerberos, LDAP,DNS.",,
,nsg.all-member-server-subnets.csv,AllowAD-TCP-UDP-Traffic-Inbound,2230,Inbound,"192.168.0.196,10.0.0.196,10.112.124.10",*,VirtualNetwork,*,*,Allow,Trust Traffic from AD servers.,,
,nsg.all-member-server-subnets.csv,AllowAzureFileShareUKSAccessOutbound,2240,outbound,VirtualNetwork,*,Storage.UKSouth,445,tcp,Allow,Allow Member servers to access Azure File Share,,
,nsg.all-member-server-subnets.csv,AllowAzureFileShareUKWAccessOutbound,2250,outbound,VirtualNetwork,*,Storage.UKWest,445,tcp,Allow,Allow Member servers to access Azure File Share,,
,nsg.all-member-server-subnets.csv,AllowManagementprotocolsfromJumpboxesInbound,2310,Inbound,"192.168.0.96/27,10.0.0.96/27",*,"192.168.0.0/23,10.10.0.0/22,10.0.0.0/23,10.8.0.0/22","3389,22,80,443,445",*,Allow,Allow Management from Jump Server,,
,nsg.all-subnets.csv,AllowAzureLoadBalancerInBound,3000,Inbound,AzureLoadBalancer,*,VirtualNetwork,*,*,Allow,Allow Azure Load Balancer Health Probes,,
,nsg.all-subnets.csv,AllowHTTP-HTTPSOutbound,3010,Outbound,VirtualNetwork,*,Internet,"80,443",TCP,Allow,Allow Access to Internet via HTTP-HTTPS to URL whitelist on firewall,,
,nsg.all-subnets.csv,AllowAzureAgentOubound,3020,Outbound,VirtualNetwork,*,168.63.129.16,*,*,Allow,Allow VM Agent to Communicate Status with Azure,,
,nsg.all-subnets.csv,AllowVMtoAzureKMSOubound,3030,Outbound,VirtualNetwork,*,*,1688,TCP,Allow,Allow VM to Communicate with Azure KMS Server,,
,nsg.all-subnets.csv,AllowICMPOutbound,3040,Outbound,VirtualNetwork,*,*,*,ICMP,Allow,Allow outbound ping,,
,nsg.all-subnets.csv,DenyAnyOutbound,4000,Outbound,VirtualNetwork,*,*,*,*,Deny,Deny Any Outbound,,
,nsg.all-subnets.csv,DenyAnyInbound,4000,Inbound,*,*,*,*,*,Deny,Deny Any Inbound,,
